tecnologia,tec_id
Python,1
C++,2
Cinema 4D,3
CRM,4
Canva,5
Trello,6
Google Analytics,7
Adobe Photoshop,8
Adobe Illustrator,9
WordPress,10
Java,11
SQL,12
SOAP,13
OpenApi,14
JavaScript,15
Cobol,16
C#,17
.NET,18
JSON,19
Angular2+,20
Microsoft Excel,21
Hubspot,22
AWS,23
Kafka,24
Argo CD,25
Flux,26
React,27
Kotlin,28
Swift,29
PostgreSQL,30
Spring,31
Azure,32
Kubernetes,33
Terraform,34
Docker,35
Linux,36
Git,37
Golang,38
Rust,39
GitLab,40
Django,41
Celery,42
Fastapi,43
MySQL,44
NodeJS,45
TypeScript,46
MVC,47
dbt,48
Google Cloud,49
Airflow,50
z/OS,51
DB2,52
PowerShell,53
Bash,54
Magento,55
Prestashop,56
BigCommerce,57
Salesforce,58
Shopify,59
WooCommerce,60
RabbitMQ,61
NextJS,62
Tailwind,63
Jenkins,64
Databricks,65
Prometheus,66
Google Sheets,67
nestJS,68
Vue,69
MQTT,70
Express,71
Koa,72
Spring Boot,73
Go,74
Bootstrap,75
Pytest,76
Github,77
PHP,78
Symfony,79
Figma,80
HTML,81
CSS,82
Jest,83
Hibernate,84
API,85
WebSockets,86
Svelte,87
BigQuery,88
Redux,89
Ansible,90
SQLServer,91
Visual Studio,92
REST,93
ETL,94
S3,95
Redshift,96
Snowflake,97
Auth0,98
Tableau,99
IIS,100
Pulumi,101
Azure DevOps,102
Laravel,103
Yii,104
AWS ECS,105
Nest,106
PySpark,107
AWS Lambda,108
Selenium,109
Appium,110
Cypress,111
RxJS,112
Clojure,113
Grafana,114
ELK,115
Spark,116
Jmeter,117
Gatling,118
Apple iOS,119
SwiftUI,120
XCTest,121
UIKit,122
Atlassian,123
Groovy,124
ServiceNow,125
Ethereum,126
Web3,127
.Net Core,128
Swagger,129
Helm,130
Datadog,131
Kong,132
Quarkus,133
Vitest,134
TestingLibrary,135
Metabase,136
Webpack,137
Elasticsearch,138
Dart,139
Flutter,140
Blender,141
Ruby on Rails,142
Citrix,143
Windows,144
VMWare,145
Hyper-v,146
Xen,147
R,148
Three.js,149
MongoDB,150
React Native,151
Jira,152
NoSQL,153
Scrapy,154
Apache Beam,155
Nagios,156
Zabbix,157
DNS,158
HTTP4s,159
Razor,160
Shiny,161
Xray,162
AWS Cloudwatch,163
Google Ads,164
Pipedrive,165
Notion,166
Monday,167
DialogFlow,168
GraphQL,169
jQuery,170
AngularJS,171
Ionic,172
Viper,173
Android,174
Slack,175
Mocha,176
junit4,177
Amplitude,178
Mixpanel,179
DynamoDB,180
SaaS,181
Redis,182
KVM,183
Solr,184
Flask,185
Sklearn,186
Google Looker Studio,187
Scala,188
Gitflow,189
ASP.net,190
Pandas,191
Numpy,192
Google Firebase,193
Riverpod,194
gRPC,195
Protobuf,196
PHPunit,197
Drupal,198
Zoho,199
Fortran,200
Vite,201
TensorFlow,202
ActiveMQ,203
Cisco,204
Microsoft Sharepoint,205
Microsoft Dynamics 365,206
Cassandra,207
Dagger2,208
Core Data,209
Ruby,210
PyTorch,211
AWS SageMaker,212
Oracle,213
Microsoft Power BI,214
Google Tag Manager,215
Maven,216
JUnit,217
Blazor,218
Microsoft,219
javacript,220
Sketch,221
Adobe Xd,222
Axure,223
InfluxDB,224
Flink,225
Postman,226
JBoss,227
Transact-SQL (T-SQL),228
PL/SQL,229
Cordova,230
BlueTooth,231
Nuxt.js,232
Babel,233
Microsoft Office 365,234
Objective-C,235
OpenCV,236
Jasmine,237
Productboard,238
Github Actions,239
openlayers,240
CARTO,241
ArcGIS,242
Leaflet,243
Geoserver,244
Google AdManager,245
Google Data Studio,246
Google Optimize,247
Couchbase,248
Elixir,249
Adobe Premiere Pro,250
Cucumber,251
Sagas,252
Apollo,253
MVVM,254
ClickHouse,255
Micronaut Framework,256
Airtable,257
Asana,258
Specflow,259
Puppeteer,260
Miro,261
Backbone,262
CMS,263
KendoUI,264
Adobe Suit,265
Apache,266
Karate,267
PACT,268
MariaDB,269
TestNg,270
AWS-User,271
Apple macOS,272
Microsoft Active Directory,273
Storybook,274
Keycloak,275
slq-server,276
GraalVM,277
FlexBox,278
Unix,279
data-lake,280
shell-scripting,281
postgres,282
rabbit,283
reactive-programming,284
Puppet,285
Unity3D,286
SAP,287
Nginx,288
Invision,289
Chef,290
Hotjar,291
LookBack,292
Maze,293
Webflow,294
CMake,295
Qt,296
Alfresco,297
MapBox,298
ChartJS,299
Google Maps,300
OpenGL,301
UML,302
Genesys,303
SIP,304
Vuex,305
VanillaJS,306
Hadoop,307
OpenShift,308
Hazelcast,309
Android Studio,310
PowerCenter,311
Microsoft SQL Integration Services (SSIS),312
Sass,313
Ember,314
Entity,315
CodeIgniter,316
OpenStack,317
NgRx,318
WPF,319
FlaUI,320
Gherkin,321
Playwright,322
SonarQube,323
Nexus,324
Fortinet,325
Vagrant,326
F5,327
Aruba,328
Infoblox,329
Palo Alto,330
Zscaler,331
MobileIron,332
PRTG,333
VMware NSX,334
WebComponents,335
New Relic,336
Confluence,337
Plesk,338
AJAX,339
SCADA,340
Kibana,341
Microstrategy,342
BI,343
Adobe Analytics,344
Adobe Campaign,345
Selligent,346
screen-scraping,347
TestFlight,348
Odoo,349
WebApi,350
RollupJS,351
YAML,352
Lucene,353
RedHat,354
Segment,355
Facebook Ads,356
Linkedin Ads,357
Bitbucket,358
Lua,359
Zend,360
CircleCI,361
Serverless,362
Zapier,363
Apache Tomcat,364
git-bash,365
